date,open,high,low,close,volume,barCount,WAP
2023-08-10,14.85,15.28,14.15,14.19,8455467.0,32599,
2023-08-11,14.94,17.74,14.91,15.71,46811857.0,121569,
2023-08-14,16.55,16.64,14.66,14.88,14016410.0,46786,
2023-08-15,14.73,16.78,14.53,15.56,23176051.0,61283,
2023-08-16,15.18,15.5,13.61,13.69,14216042.0,46995,
2023-08-17,14.02,14.02,13.0,13.01,9476818.0,33222,
2023-08-18,12.37,13.66,12.19,13.42,9383095.0,36592,
2023-08-21,13.72,14.49,13.35,14.42,7773666.0,25714,
2023-08-22,14.9,15.07,14.17,14.92,7601466.0,26168,
2023-08-23,14.79,16.27,14.64,16.1,7991996.0,26888,
2023-08-24,16.38,16.42,14.18,14.62,9581730.0,34218,
2023-08-25,14.66,15.34,14.19,14.67,8605432.0,31234,
2023-08-28,14.86,15.43,14.32,15.27,6584234.0,22270,
2023-08-29,15.14,16.6,14.95,16.5,9860905.0,32350,
2023-08-30,16.32,17.43,16.11,17.12,9630368.0,33248,
2023-08-31,17.12,17.53,16.56,17.19,5972773.0,21799,
2023-09-01,17.34,17.62,16.53,17.51,6367122.0,22298,
2023-09-05,17.28,19.07,17.27,18.97,10076717.0,37323,
2023-09-06,18.84,20.05,18.63,19.58,11067508.0,41192,
2023-09-07,18.52,18.52,16.6,17.49,13362933.0,49332,
2023-09-08,17.6,19.35,17.59,19.34,11085509.0,40814,
2023-09-11,19.2,19.77,18.76,19.68,8801375.0,31632,
2023-09-12,19.21,21.6,19.12,19.31,18385644.0,66172,
2023-09-13,19.37,19.96,18.57,18.69,10892016.0,41307,
2023-09-14,18.77,19.29,17.77,18.03,10029243.0,36766,
2023-09-15,17.97,18.07,16.75,17.08,10197521.0,40729,
2023-09-18,17.03,17.68,16.08,16.16,8436418.0,35358,
2023-09-19,16.35,16.6,15.72,15.78,7733616.0,31640,
2023-09-20,15.95,16.44,14.77,14.8,11578918.0,46092,
2023-09-21,14.4,14.65,13.51,13.53,12438368.0,48739,
2023-09-22,14.08,14.36,13.18,13.28,9310352.0,35016,
2023-09-25,13.21,13.65,12.96,13.41,6937520.0,25589,
2023-09-26,13.24,13.69,12.98,13.1,6746853.0,26212,
2023-09-27,13.33,14.52,13.25,14.24,12505209.0,46213,
2023-09-28,14.45,15.62,13.93,15.39,13250376.0,43232,
2023-09-29,15.49,15.88,14.59,14.88,10930318.0,39825,
2023-10-02,14.93,15.15,14.47,14.81,6258158.0,28319,
2023-10-03,14.47,14.63,13.7,13.92,6909630.0,26839,
2023-10-04,13.86,14.88,13.83,14.77,6935868.0,23069,
2023-10-05,14.5,14.87,14.17,14.69,4895047.0,17771,
2023-10-06,14.39,15.35,14.17,15.29,6811589.0,24820,
2023-10-09,14.42,15.13,14.33,14.64,7015289.0,26093,
2023-10-10,14.74,16.38,14.71,16.0,11446305.0,42072,
2023-10-11,16.19,16.6,15.32,15.69,7979494.0,31509,
2023-10-12,15.78,16.23,14.97,15.21,8330894.0,28918,
2023-10-13,15.01,15.23,14.18,14.29,6968899.0,25362,
2023-10-16,14.2,14.77,14.02,14.41,5560929.0,19141,
2023-10-17,14.12,14.71,13.81,14.38,5654763.0,22149,
2023-10-18,14.18,14.53,13.51,13.69,6562634.0,25826,
2023-10-19,13.79,14.07,13.33,13.47,6308943.0,25154,
2023-10-20,13.29,13.52,12.51,12.59,7857228.0,29240,
2023-10-23,12.34,12.88,11.83,12.64,8341013.0,32965,
2023-10-24,11.13,11.83,10.91,11.01,13888923.0,49107,
2023-10-25,11.15,11.21,10.27,10.4,10763180.0,42475,
2023-10-26,10.29,10.45,9.85,9.92,10292692.0,42704,
2023-10-27,10.2,10.39,10.06,10.14,6467442.0,28009,
2023-10-30,10.4,10.43,9.35,9.5,10186719.0,39734,
2023-10-31,9.44,9.72,9.23,9.64,5820662.0,23975,
2023-11-01,9.73,10.29,9.6,10.22,7450869.0,30763,
2023-11-02,10.92,11.34,10.75,11.14,9422506.0,36864,
2023-11-03,11.24,12.09,11.24,11.58,7761813.0,30739,
2023-11-06,11.81,11.92,10.96,11.21,5376295.0,21395,
2023-11-07,11.19,11.61,11.03,11.47,4730787.0,17857,
2023-11-08,11.56,11.57,11.1,11.41,5285067.0,21062,
2023-11-09,11.18,12.58,10.91,11.23,13231527.0,47119,
2023-11-10,11.27,11.27,10.15,10.66,9963343.0,40515,
2023-11-13,10.59,11.74,10.53,11.55,8431046.0,29584,
2023-11-14,11.87,12.74,11.66,12.69,8217579.0,33341,
2023-11-15,12.81,13.58,12.28,12.99,9529334.0,35515,
2023-11-16,12.79,12.79,12.06,12.2,5398750.0,19804,
2023-11-17,12.44,12.85,12.27,12.7,5776344.0,21301,
2023-11-20,12.86,13.29,12.75,12.85,4825659.0,17299,
2023-11-21,12.57,12.59,12.17,12.29,4119645.0,16633,
2023-11-22,12.53,13.38,12.21,12.42,6278233.0,20244,
2023-11-24,12.46,12.5,12.08,12.36,2493745.0,10330,
2023-11-27,12.19,12.6,12.03,12.1,4590298.0,19126,
2023-11-28,12.04,12.27,11.69,12.21,5417093.0,19591,
2023-11-29,12.62,13.24,12.37,12.48,7429941.0,24753,
2023-11-30,12.73,12.83,12.17,12.23,4768665.0,18038,
2023-12-01,12.21,13.66,11.92,13.61,8359342.0,27790,
2023-12-04,13.32,14.09,13.3,13.76,8073617.0,32278,
2023-12-05,13.55,13.6,12.88,13.01,5646882.0,18918,
2023-12-06,13.46,14.0,12.94,12.97,7022923.0,23949,
2023-12-07,13.05,13.21,12.65,13.2,4334810.0,16281,
2023-12-08,13.06,13.79,12.98,13.69,6898769.0,23795,
2023-12-11,13.17,13.4,12.66,13.05,8839445.0,29171,
2023-12-12,13.03,13.24,12.65,12.76,6261480.0,22607,
2023-12-13,12.75,13.43,12.27,13.43,9938013.0,36110,
2023-12-14,13.64,14.9,13.62,14.76,12841508.0,47221,
2023-12-15,14.63,15.5,14.59,14.93,10128602.0,39115,
